condition,replication,crisis,crisis_tick,final_stress,total_logs,classified_signals,governance_health
grid,63,False,None,0.1561,13,8,54.87
grid,64,False,None,0.1217,17,8,51.59
grid,65,False,None,0.1369,16,9,54.18
grid,66,False,None,0.1426,15,10,57.46
grid,67,False,None,0.1465,15,8,52.68
grid,68,False,None,0.1287,14,8,54.30
grid,69,False,None,0.1306,11,9,62.27
grid,70,False,None,0.1528,17,8,50.72
grid,71,False,None,0.1559,15,9,54.75
grid,72,False,None,0.1535,18,8,50.00
grid,73,False,None,0.1527,16,8,51.55
grid,74,False,None,0.1597,16,8,51.35
grid,75,False,None,0.1599,16,8,51.35
grid,76,False,None,0.1403,19,9,51.60
grid,77,False,None,0.1341,17,8,51.25
grid,78,False,None,0.1500,17,8,50.80
grid,79,False,None,0.1651,12,8,56.20
grid,80,False,None,0.1369,17,8,51.17
grid,81,False,None,0.1281,12,8,57.24
grid,82,False,None,0.1376,14,9,56.55
grid,83,False,None,0.1531,14,8,53.62
grid,84,False,None,0.1265,12,8,57.28
grid,85,False,None,0.1321,20,10,52.96
grid,86,False,None,0.1446,24,8,47.60
grid,87,False,None,0.1391,14,9,56.51
grid,88,False,None,0.1661,15,8,52.13
grid,89,False,None,0.1357,20,8,49.35
grid,90,False,None,0.1650,12,8,56.21
grid,91,False,None,0.1825,12,8,55.72
grid,92,False,None,0.1344,15,8,53.02
grid,93,False,None,0.1443,19,10,53.33
grid,94,False,None,0.1817,15,8,51.69
grid,95,False,None,0.1422,16,9,54.03
grid,96,False,None,0.1519,10,8,60.82
grid,97,False,None,0.1326,17,9,53.35
grid,98,False,None,0.1959,15,8,51.30
grid,99,False,None,0.1660,14,8,53.26
